       t     x(t)     y(t)    vx(t)    vy(t)
 0.00000  1.00000  0.00000 -0.00000  5.00000
 0.10000  0.95534  0.47943 -0.88656  4.38791
 0.20000  0.82534  0.84147 -1.69393  2.70151
 0.30000  0.62161  0.99749 -2.34998  0.35369
 0.40000  0.36236  0.90930 -2.79612 -2.08073
 0.50000  0.07074  0.59847 -2.99249 -4.00572
 0.60000 -0.22720  0.14112 -2.92154 -4.94996
 0.70000 -0.50485 -0.35078 -2.58963 -4.68228
 0.80000 -0.73739 -0.75680 -2.02639 -3.26822
 0.90000 -0.90407 -0.97753 -1.28214 -1.05398
 1.00000 -0.98999 -0.95892 -0.42336  1.41831
 1.10000 -0.98748 -0.70554  0.47324  3.54335
 1.20000 -0.89676 -0.27942  1.32756  4.80085
 1.30000 -0.72593  0.21512  2.06330  4.88294
 1.40000 -0.49026  0.65699  2.61473  3.76951
 1.50000 -0.21080  0.93800  2.93259  1.73318
 1.60000  0.08750  0.98936  2.98849 -0.72750
 1.70000  0.37798  0.79849  2.77744 -3.01006
 1.80000  0.63469  0.41212  2.31829 -4.55565
 1.90000  0.83471 -0.07515  1.65206 -4.98586
 2.00000  0.96017 -0.54402  0.83825 -4.19536
 2.10000  0.99986 -0.87970 -0.05044 -2.37768
 2.20000  0.95023 -0.99999 -0.93463  0.02213
 2.30000  0.81573 -0.87545 -1.73532  2.41652
 2.40000  0.60835 -0.53657 -2.38100  4.21927
 2.50000  0.34664 -0.06632 -2.81400  4.98899
 2.60000  0.05396  0.42017 -2.99563  4.53723
 2.70000 -0.24354  0.80378 -2.90967  2.97460
 2.80000 -0.51929  0.99061 -2.56380  0.68369
 2.90000 -0.74865  0.93490 -1.98891 -1.77462
 3.00000 -0.91113  0.65029 -1.23636 -3.79844
 3.10000 -0.99223  0.20647 -0.37336 -4.89227
 3.20000 -0.98469 -0.28790  0.52298 -4.78830
 3.30000 -0.88919 -0.71179  1.37261 -3.51199
 3.40000 -0.71427 -0.96140  2.09963 -1.37582
 3.50000 -0.47554 -0.97563  2.63909  1.09720
 3.60000 -0.19433 -0.75099  2.94281  3.30158
 3.70000  0.10424 -0.34248  2.98366  4.69762
 3.80000  0.39349  0.14988  2.75799  4.94352
 3.90000  0.64760  0.60554  2.28595  3.97907
 4.00000  0.84385  0.91295  1.60972  2.04041
 4.10000  0.96473  0.99683  0.78970 -0.39782
